line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	westmorland-and-furness.txt	Storth	resolved	54.2116648	-2.8038151	hamlet	OpenStreetMap/Nominatim
2	westmorland-and-furness.txt	Carr Bank	resolved	54.2032060	-2.8090459	locality	Carr Bank Road centroid; named coastal cluster near Storth/Sandside (no separate hamlet node)
3	westmorland-and-furness.txt	Sandside	resolved	54.2189411	-2.8006807	village	OpenStreetMap/Nominatim
4	westmorland-and-furness.txt	Arnside	resolved	54.2013106	-2.8342988	village	OpenStreetMap/Nominatim
5	westmorland-and-furness.txt	Arnside Knott	resolved	54.1902271	-2.8351902	peak	OpenStreetMap/Nominatim
6	westmorland-and-furness.txt	Arnside Point	resolved	54.1848531	-2.8640284	cape	OpenStreetMap/Nominatim
7	westmorland-and-furness.txt	Arnside Marsh	ambiguous			wetland	No single OSM object; tidal marsh/mudflat belt near Arnside and Morecambe Bay
8	westmorland-and-furness.txt	Arnside Promenade	resolved	54.2030010	-2.8335910	promenade	Arnside Sailing Club on The Promenade (proxy for seafront promenade)
9	westmorland-and-furness.txt	Arnside Tower	resolved	54.1844404	-2.8308935	historic	OpenStreetMap/Nominatim (ruins)
10	westmorland-and-furness.txt	Arnside Viaduct	resolved	54.2054098	-2.8389636	bridge	OpenStreetMap/Nominatim
11	westmorland-and-furness.txt	Grange-over-Sands	resolved	54.1929391	-2.9100401	town	OpenStreetMap/Nominatim
12	westmorland-and-furness.txt	Grange-over-Sands Promenade	resolved	54.1956930	-2.9028039	promenade	Grange-over-Sands railway station on Promenade (seafront)
13	westmorland-and-furness.txt	Grange-over-Sands Beach	resolved	54.1882766	-2.9119173	beach	Promenade foreshore viewpoint; Morecambe Bay mudflats/sands
14	westmorland-and-furness.txt	Kents Bank	resolved	54.1728754	-2.9252051	village	Kents Bank station node; small settlement on bay
15	westmorland-and-furness.txt	Meathop	resolved	54.2199250	-2.8625152	village	OpenStreetMap/Nominatim
